Alabama,"5,143,030"
Alaska,"733,536"
Arizona,"7,497,000"
Arkansas,"3,089,060"
California,"38,889,800"
Colorado,"5,914,180"
Connecticut,"3,625,650"
Delaware,"1,044,320"
Florida,"22,975,900"
Georgia,"11,145,300"
Hawaii,"1,430,880"
Idaho,"1,990,460"
Illinois,"12,516,900"
Indiana,"6,892,120"
Iowa,"3,214,320"
Kansas,"2,944,380"
Kentucky,"4,540,740"
Louisiana,"4,559,480"
Maine,"1,402,110"
Maryland,"6,196,520"
Massachusetts,"7,020,060"
Michigan,"10,041,200"
Minnesota,"5,761,530"
Mississippi,"2,940,450"
Missouri,"6,215,140"
Montana,"1,142,750"
Nebraska,"1,988,700"
Nevada,"3,210,930"
New Hampshire,"1,405,100"
New Jersey,"9,320,860"
New Mexico,"2,115,270"
New York,"19,469,200"
North Carolina,"10,975,000"
North Dakota,"788,940"
Ohio,"11,812,200"
Oklahoma,"4,088,380"
Oregon,"4,227,340"
Pennsylvania,"12,951,300"
Rhode Island,"1,098,080"
South Carolina,"5,464,160"
South Dakota,"928,767"
Tennessee,"7,204,000"
Texas,"30,976,800"
Utah,"3,454,230"
Vermont,"647,818"
Virginia,"8,752,300"
Washington,"7,841,280"
West Virginia,"1,766,110"
Wisconsin,"5,931,370"
Wyoming,"586,485"
